events,date
Bitcoin Cash hard fork,11/15/2018
SEC delays decision on Bitcoin ETFs,8/7/2018
NYSE's owner (ICE) announced the launch of Bakkt,8/3/2018
Winklevos twins Bitcoin ETF is rejected by the SEC,7/26/2018
Goldman Sachs announces to open a Bitcoin trading operation,5/2/2018
SEC announces crypto exchanges registration,3/7/2018
Goldman Sachs drops crypto trading plans,9/5/2018
South Korea threatens to shut down crypto exchanges ,12/28/2017
CBOE Bitcoin Futures are launched,12/11/2017
SegWit2X Cancelled,11/8/2017
CME announces to launch Bitcoin futures,10/31/2017
China is shutting down all Bitcoin and Crypto Exchanges ,9/15/2017
China bans companies from raising money through ICOs,9/3/2017
Bitcoin Cash hard fork,8/1/2017
SEC denies second Bitcoin ETF,3/28/2017
SEC denies Winkelvos Bitcoin ETF,3/10/2017
"Donald Trump Elected as President, Market Plummet",11/9/2016
Bitfinex Hacked,8/2/2016
Second Halving,7/9/2016
